"","Title","Currency","amountAwarded","awardDate","Organisation","fundingOrg","fundingDept","grantProgramme","amountRequested","orgSize"
"175","Grant to LB Lambeth","GBP",522918,2015-02-25,"LB Lambeth","Greater London Authority","Development, Enterprise & Environment",NA,688727.184788519,"large"
"176","Grant to London Youth Rowing","GBP",1500,2015-02-26,"London Youth Rowing","Greater London Authority","Communities and Intelligence","FreeSport",1644.54215990694,"large"
"177","Grant to Millwall for All Trust","GBP",1498,2015-02-27,"Millwall for All Trust","Greater London Authority","Communities and Intelligence","FreeSport",1605.94903887034,"med"
"178","Grant to Maccabi GB","GBP",1500,2015-02-27,"Maccabi GB","Greater London Authority","Communities and Intelligence","FreeSport",1685.6412370805,"small"
"179","Grant to Aim High Dance Academy","GBP",1456.96,2015-02-28,"Aim High Dance Academy","Greater London Authority","Communities and Intelligence","FreeSport",1570.01544630485,"large"
"180","Grant to 0-10 Community   (c/o Quietstorm Enterprise)","GBP",1499.94,2015-03-01,"0-10 Community   (c/o Quietstorm Enterprise)","Greater London Authority","Communities and Intelligence","FreeSport",1887.55434237714,"small"
"181","Grant to Dalmain Athletic GFC","GBP",1268,2015-03-02,"Dalmain Athletic GFC","Greater London Authority","Communities and Intelligence","FreeSport",1489.11884163414,"large"
"182","Grant to City of London - Epping Forest","GBP",1500,2015-03-02,"City of London - Epping Forest","Greater London Authority","Communities and Intelligence","FreeSport",1167.49794566151,"med"
"183","Grant to Carl Campbell Dance Company 7","GBP",1500,2015-03-02,"Carl Campbell Dance Company 7","Greater London Authority","Communities and Intelligence","FreeSport",1706.47083076334,"large"
"184","Grant to Stratford Village Surgery","GBP",18000,2015-03-04,"Stratford Village Surgery","Greater London Authority",NA,NA,28506.2615947965,"small"
"185","Grant to LB Tower Hamlets","GBP",47750,2015-03-04,"LB Tower Hamlets","Greater London Authority",NA,NA,75963.658752777,"small"
"186","Grant to LB Hackney","GBP",2500,2015-03-04,"LB Hackney","Greater London Authority","Communities and Intelligence",NA,3206.23025090013,"small"
"187","Grant to Walworth Golden Oldies Community Crae Project","GBP",1467,2015-03-05,"Walworth Golden Oldies Community Care Project","Greater London Authority","Communities and Intelligence","FreeSport",1919.21969978642,"small"
"188","Grant to Reed in Partnership Limited","GBP",398375,2015-03-09,"Reed in Partnership Limited","Greater London Authority","Development, Enterprise & Environment",NA,576684.626156636,"large"
"189","Grant to North London Partnership Consortium Limited","GBP",398375,2015-03-09,"North London Partnership Consortium Limited","Greater London Authority","Development, Enterprise & Environment",NA,448253.191634857,"large"
"190","Grant to Forestry Commission","GBP",15000,2015-03-09,"Forestry Commission","Greater London Authority","Development, Enterprise & Environment",NA,18447.9844522429,"small"
"191","Grant to Cuban Boxing Academy","GBP",1300,2015-03-10,"Cuban Boxing Academy","Greater London Authority","Communities and Intelligence","FreeSport",1633.64345370566,"med"
"192","Grant to Soloman Executive Limited","GBP",225001,2015-03-17,"Soloman Executive Limited","Greater London Authority","Development, Enterprise & Environment",NA,254568.39218445,"med"
"193","Grant to Public Relations Consultants Associations Ltd","GBP",111352,2015-03-18,"Public Relations Consultants Associations Ltd","Greater London Authority","Development, Enterprise & Environment",NA,171054.281008545,"small"
"194","Grant to Creative Process","GBP",4e+05,2015-03-19,"Creative Process","Greater London Authority","Development, Enterprise & Environment",NA,314278.725797032,"large"
"195","Grant to LB Westminster","GBP",400003,2015-03-23,"LB Westminster","Greater London Authority","Development, Enterprise & Environment",NA,519482.604318293,"large"
"196","Grant to LB Greenwich","GBP",6400,2015-03-23,"LB Greenwich","Greater London Authority",NA,NA,6407.26576572412,"med"
"197","Grant to Film London","GBP",1200000,2015-03-25,"Film London","Greater London Authority","Communities and Intelligence",NA,1460584.89459816,"small"
"198","Grant to London Sport Ltd","GBP",1350000,2015-03-26,"London Sport Ltd","Greater London Authority","Communities and Intelligence",NA,1893267.83305075,"med"
"199","Grant to LB Sutton","GBP",30000,2015-03-27,"LB Sutton","Greater London Authority","Development, Enterprise & Environment",NA,24868.224364122,"med"
"200","Grant to LB Islington","GBP",75000,2015-03-27,"LB Islington","Greater London Authority","Development, Enterprise & Environment",NA,90132.3642190836,"large"
"201","Grant to RollaDome All Skate","GBP",1500,2015-03-30,"RollaDome All Skate","Greater London Authority","Communities and Intelligence","FreeSport",1413.12250682182,"large"
"202","Grant to HR Sports Academy","GBP",1500,2015-03-30,"HR Sports Academy","Greater London Authority","Communities and Intelligence","FreeSport",1736.17143399712,"med"
"203","Grant to University of East London","GBP",12500,2015-03-31,"University of East London","Greater London Authority","Communities and Intelligence",NA,18071.3276451767,"small"
"204","Grant to LB Lewisham","GBP",2130,2015-03-31,"LB Lewisham","Greater London Authority",NA,NA,2609.74101580102,"small"
"205","Grant to Achievement for All Limited","GBP",350000,2015-03-31,"Achievement for All Limited","Greater London Authority","Communities and Intelligence",NA,494728.322428648,"large"
"206","Grant to LB Newham","GBP",177534,2015-04-01,"LB Newham","Greater London Authority","Development, Enterprise & Environment",NA,233582.311916824,"med"
"207","Grant to LB Lambeth","GBP",869000,2015-04-01,"LB Lambeth","Greater London Authority","Development, Enterprise & Environment",NA,744716.797468069,"small"
"208","Grant to LB Havering","GBP",2e+05,2015-04-01,"LB Havering","Greater London Authority","Development, Enterprise & Environment",NA,273696.019516042,"large"
"209","Grant to LB Richmond","GBP",18000,2015-04-03,"LB Richmond","Greater London Authority","Development, Enterprise & Environment",NA,18893.5983662414,"small"
"210","Grant to Vi-ability","GBP",40000,2015-04-08,"Vi-ability","Greater London Authority","Communities and Intelligence",NA,41003.3520648857,"small"
"211","Grant to Cospa","GBP",10000,2015-04-08,"Cospa","Greater London Authority","Communities and Intelligence",NA,7678.16065577294,"large"
"212","Grant to City Gateway","GBP",45000,2015-04-08,"City Gateway","Greater London Authority","Communities and Intelligence",NA,81016.4177665282,"small"
"213","Grant to Business Education London South","GBP",15000,2015-04-08,"Business Education London South","Greater London Authority","Communities and Intelligence",NA,8631.26534203453,"small"
"214","Grant to LB Hackney","GBP",285000,2015-04-23,"LB Hackney","Greater London Authority","Development, Enterprise & Environment",NA,415762.223676935,"large"
"215","Grant to Waterloo Quarter Business Improvement District","GBP",20000,2015-04-30,"Waterloo Quarter Business Improvement District","Greater London Authority","Development, Enterprise & Environment",NA,27086.1872306688,"med"
"216","Grant to Groundwork London","GBP",35000,2015-04-30,"Groundwork London","Greater London Authority","Development, Enterprise & Environment",NA,39127.5223546767,"small"
"217","Grant to Do it trust","GBP",12786,2015-04-30,"Do it trust","Greater London Authority","Communities and Intelligence","Speed Volunteering project",21414.8334384456,"small"
"218","Grant to LB Greenwich","GBP",122500,2015-05-01,"LB Greenwich","Greater London Authority","Development, Enterprise & Environment",NA,151963.838439624,"med"
"219","Grant to Rethinking Cities Ltd","GBP",1750,2015-05-12,"Rethinking Cities Ltd","Greater London Authority","Development, Enterprise & Environment",NA,2009.45345677095,"large"
"220","Grant to LB Harrow","GBP",175000,2015-05-12,"LB Harrow","Greater London Authority","Development, Enterprise & Environment",NA,222640.295664405,"med"
"221","Grant to LB Greenwich","GBP",122500,2015-05-12,"LB Greenwich","Greater London Authority","Development, Enterprise & Environment",NA,164214.976043341,"large"
"222","Grant to Sustain - The Alliance for better food and farming","GBP",34000,2015-05-13,"Sustain - The Alliance for better food and farming","Greater London Authority","Development, Enterprise & Environment",NA,35879.3315962155,"med"
"223","Grant to Great Britain Wheelchair Rugby Limited","GBP",40000,2015-05-13,"Great Britain Wheelchair Rugby Limited","Greater London Authority","Communities and Intelligence",NA,38586.0329188093,"med"
"224","Grant to LB Haringey","GBP",75000,2015-05-14,"LB Haringey","Greater London Authority","Development, Enterprise & Environment",NA,62186.1138527701,"small"
"225","Grant to Camden Town Unlimited","GBP",30000,2015-05-18,"Camden Town Unlimited","Greater London Authority","Development, Enterprise & Environment",NA,40726.8188915837,"small"
"226","Grant to Poplar HARCA","GBP",283000,2015-05-20,"Poplar HARCA","Greater London Authority","Development, Enterprise & Environment",NA,431357.937355989,"med"
"227","Grant to Green Corridor","GBP",157500,2015-05-22,"Green Corridor","Greater London Authority","Development, Enterprise & Environment",NA,133512.112740688,"med"
"228","Grant to LB Croydon","GBP",58800,2015-05-27,"LB Croydon","Greater London Authority","Development, Enterprise & Environment",NA,27035.6404944146,"large"
"229","Grant to Inmidtown","GBP",30000,2015-05-29,"Inmidtown","Greater London Authority","Development, Enterprise & Environment",NA,33835.9023706375,"med"
"230","Grant to Edgware Road Partnership","GBP",30000,2015-05-29,"Edgware Road Partnership","Greater London Authority","Development, Enterprise & Environment",NA,26183.8919764598,"large"
"231","Grant to LB Hackney","GBP",120000,2015-06-01,"LB Hackney","Greater London Authority","Development, Enterprise & Environment",NA,103529.684487662,"med"
"232","Grant to LB Enfield","GBP",175000,2015-06-02,"LB Enfield","Greater London Authority","Development, Enterprise & Environment",NA,227745.631676741,"large"
"233","Grant to Vision Redbridge Culture and Leisure","GBP",105000,2015-06-08,"Vision Redbridge Culture and Leisure","Greater London Authority","Development, Enterprise & Environment",NA,127465.519893188,"med"
"234","Grant to Turf Projects","GBP",15950,2015-06-08,"Turf Projects","Greater London Authority","Development, Enterprise & Environment",NA,26986.3580007338,"med"
"235","Grant to British Swimming","GBP",80000,2015-06-08,"British Swimming","Greater London Authority","Communities and Intelligence",NA,97476.5094223519,"small"
"236","Grant to Amateur Swimming Association","GBP",350000,2015-06-08,"Amateur Swimming Association","Greater London Authority","Communities and Intelligence",NA,452445.289590969,"med"
"237","Grant to South London Makerspace","GBP",18150,2015-06-09,"South London Makerspace","Greater London Authority","Development, Enterprise & Environment",NA,14864.3101263065,"med"
"238","Grant to New West End Company","GBP",30000,2015-06-09,"New West End Company","Greater London Authority","Development, Enterprise & Environment",NA,36624.8773472896,"large"
"239","Grant to Community Association of New Eltham","GBP",15500,2015-06-09,"Community Association of New Eltham","Greater London Authority","Development, Enterprise & Environment",NA,20481.9646212655,"small"
"240","Grant to Create","GBP",15500,2015-06-10,"Create London","Greater London Authority","Development, Enterprise & Environment",NA,19529.2034876239,"med"
"241","Grant to London Wildlife Trust","GBP",50000,2015-06-11,"London Wildlife Trust","Greater London Authority","Development, Enterprise & Environment",NA,48527.4948923864,"med"
"242","Grant to Groundwork London","GBP",105000,2015-06-11,"Groundwork London","Greater London Authority","Development, Enterprise & Environment",NA,131202.254275928,"small"
"243","Grant to Film London","GBP",2750000,2015-06-11,"Film London","Greater London Authority","Communities and Intelligence",NA,2609511.90741519,"med"
"244","Grant to LB Islington","GBP",262000,2015-06-16,"LB Islington","Greater London Authority","Development, Enterprise & Environment",NA,463162.486296494,"small"
"245","Grant to Centrepoint","GBP",20000,2015-06-16,"Centrepoint","Greater London Authority","Development, Enterprise & Environment",NA,16361.3515567355,"med"
"246","Grant to Queens Park Community Council","GBP",20000,2015-06-19,"Queens Park Community Council","Greater London Authority","Development, Enterprise & Environment",NA,15903.4018155271,"large"
"247","Grant to LB Bromley","GBP",20000,2015-06-19,"LB Bromley","Greater London Authority","Development, Enterprise & Environment",NA,22189.2333707329,"small"
"248","Grant to Project Dirt","GBP",3000,2015-06-20,"Project Dirt","Greater London Authority","Communities and Intelligence","Speed Volunteering project",3708.25522399152,"small"
"249","Grant to The Community Brain","GBP",17000,2015-06-24,"The Community Brain","Greater London Authority","Development, Enterprise & Environment",NA,12956.0761846921,"med"
"250","Grant to LB Haringey","GBP",3e+05,2015-06-26,"LB Haringey","Greater London Authority","Development, Enterprise & Environment",NA,360615.921710451,"large"
